Coche,Link,Precio,Año,Kms,Combustible,Potencia,Puertas,Cambio,Localizacion
VOLKSWAGEN - CADDY 1. 9 TDI 105 CV,www.milanuncios.com/volkswagen-de-segunda-mano/volkswagen-caddy-1-9-tdi-105-cv-300166110.htm,5.500€,año 2008,159.634 kms,diesel,105 cv,5 puertas,manual,madrid
AUDI - A3 SPORTBACK S-TRONIC NACIONAL,www.milanuncios.com/audi-de-segunda-mano/audi-a3-sportback-s-tronic-nacional-299192376.htm,7.500€,año 2008,193.500 kms,diesel,170 cv,5 puertas,automat,vizcaya
VOLKSWAGEN - GOLF VII SPORTSVAN SPORT1. 6TDI,www.milanuncios.com/volkswagen-de-segunda-mano/volkswagen-golf-vii-sportsvan-sport1-6tdi-299245629.htm,14.000€,año 2015,100.000 kms,diesel,110 cv,5 puertas,manual,sevilla
CITROEN - C5 2. 0 HDI PREMIER BREAK,www.milanuncios.com/citroen-de-segunda-mano/citroen-c5-2-0-hdi-premier-break-296220702.htm,5.990€,año 2008,200.000 kms,diesel,138 cv,5 puertas,manual,asturias
VOLKSWAGEN - GOLF R LINE,www.milanuncios.com/volkswagen-de-segunda-mano/volkswagen-golf-r-line-299831014.htm,5.500€,año 2010,156.000 kms,gasolina,122 cv,3 puertas,automat,madrid
SEAT - LEON ST  TDI,www.milanuncios.com/seat-de-segunda-mano/seat-leon-st-tdi-299382229.htm,8.900€,año 2015,123.242 kms,diesel,105 cv,5 puertas,manual,vizcaya
MERCEDES-BENZ - C-200CDI ESTATE 136CV AUT 7V,www.milanuncios.com/mercedes-benz-de-segunda-mano/mercedes-benz-c-200cdi-estate-136cv-aut-7v-300354702.htm,13.500€,año 2013,267.000 kms,diesel,136 cv,5 puertas,automat,alicante
VOLKSWAGEN - GOLF ADVANCE,www.milanuncios.com/volkswagen-de-segunda-mano/volkswagen-golf-advance-295206531.htm,12.500€,año 2015,96.000 kms,diesel,105 cv,5 puertas,manual,sevilla
VOLVO - XC60 R DESIGN,www.milanuncios.com/volvo-de-segunda-mano/volvo-xc60-r-design-289582855.htm,16.000€,año 2012,191.000 kms,diesel,215 cv,5 puertas,automat,girona
BMW - 320D TOURING NACIONAL,www.milanuncios.com/bmw-de-segunda-mano/bmw-320d-touring-nacional-293292865.htm,6.990€,año 2008,149.990 kms,diesel,177 cv,5 puertas,manual,valencia
CITROEN - BERLINGO * * * 1. 6HDI* * * ,www.milanuncios.com/citroen-de-segunda-mano/citroen-berlingo-1-6hdi-298588348.htm,4.300€,año 2008,180.000 kms,diesel,90 cv,5 puertas,manual,tenerife
BMW - X5 4. 0,www.milanuncios.com/bmw-de-segunda-mano/bmw-x5-4-0-299724882.htm,19.900€,año 2011,149.825 kms,diesel,306 cv,5 puertas,automat,huelva
PEUGEOT - 5008 HDI 115CV 3AÑOS GARANTÍA,www.milanuncios.com/peugeot-de-segunda-mano/peugeot-5008-hdi-115cv-3anos-garantia-296080098.htm,7.438€,año 2015,64.100 kms,diesel,115 cv,5 puertas,manual,cordoba
TOYOTA - AURIS 1. 8 140H BUSINESS,www.milanuncios.com/toyota-de-segunda-mano/toyota-auris-1-8-140h-business-299634584.htm,16.700€,año 2016,47.000 kms,híbrido,136 cv,5 puertas,automat,madrid
LAND-ROVER - FREELANDER 2. 2 TD4 SE STOPSTART 150CV,www.milanuncios.com/land-rover-de-segunda-mano/land-rover-freelander-2-2-td4-se-stopstart-150cv-299322090.htm,8.700€,año 2010,219.000 kms,diesel,150 cv,5 puertas,manual,madrid
MITSUBISHI - L200 2. 5 DID DOUBLE CAB MPRO,www.milanuncios.com/mitsubishi-de-segunda-mano/mitsubishi-l200-2-5-did-double-cab-mpro-298727352.htm,16.700€,año 2015,72.000 kms,diesel,136 cv,4 puertas,manual,madrid
VOLKSWAGEN - CADDY KOMBI 2. 0 TDI SCR BMT 102CV,www.milanuncios.com/volkswagen-de-segunda-mano/volkswagen-caddy-kombi-2-0-tdi-scr-bmt-102cv-299260488.htm,14.400€,año 2016,104.000 kms,diesel,102 cv,4 puertas,manual,madrid
AUDI - A5 20. TDI. 170CV.  2011. OCASION,www.milanuncios.com/audi-de-segunda-mano/audi-a5-20-tdi-170cv-2011-ocasion-243837091.htm,13.850€,año 2011,168.000 kms,diesel,170 cv,2 puertas,manual,baleares
RENAULT - CLIO,www.milanuncios.com/renault-de-segunda-mano/renault-clio-300039167.htm,6.900€,año 2015,30.000 kms,gasolina,75 cv,5 puertas,manual,madrid
PEUGEOT - 208,www.milanuncios.com/peugeot-de-segunda-mano/peugeot-208-298147708.htm,6.500€,año 2014,71.000 kms,diesel,70 cv,5 puertas,manual,madrid
TOYOTA - AYGO 1. 0 VVT-I X-WAVE 51 KW,www.milanuncios.com/toyota-de-segunda-mano/toyota-aygo-1-0-vvt-i-x-wave-51-kw-297332973.htm,9.390€,año 2017,11.900 kms,gasolina,69 cv,5 puertas,manual,madrid
AUDI - A3 SPORTBACK AMBITION 2. 0TDI,www.milanuncios.com/audi-de-segunda-mano/audi-a3-sportback-ambition-2-0tdi-299012165.htm,17.500€,año 2014,100.000 kms,diesel,150 cv,5 puertas,manual,sevilla
VOLKSWAGEN - GOLF VII ADVANCE 1. 6TDI,www.milanuncios.com/volkswagen-de-segunda-mano/volkswagen-golf-vii-advance-1-6tdi-295999356.htm,12.600€,año 2015,120.000 kms,diesel,105 cv,5 puertas,manual,sevilla
TOYOTA - YARIS 90D ACTIVE,www.milanuncios.com/toyota-de-segunda-mano/toyota-yaris-90d-active-295655852.htm,9.600€,año 2014,79.000 kms,diesel,90 cv,5 puertas,manual,sevilla
MINI - COOPER D 5 PUERTAS,www.milanuncios.com/mini-de-segunda-mano/mini-cooper-d-5-puertas-291218214.htm,12.900€,año 2015,120.000 kms,diesel,116 cv,5 puertas,manual,sevilla
SKODA - OCTAVIA SCOUT 2. 0 TDI 4X4 5P. ,www.milanuncios.com/skoda-de-segunda-mano/skoda-octavia-scout-2-0-tdi-4x4-5p-295423460.htm,8.900€,año 2011,162.000 kms,diesel,143 cv,5 puertas,manual,madrid
OPEL - VIVARO COMBI 6 PLAZAS L2,www.milanuncios.com/opel-de-segunda-mano/opel-vivaro-combi-6-plazas-l2-299971226.htm,15.990€,año 2015,68.000 kms,diesel,115 cv,5 puertas,manual,las_palmas
OPEL - CORSA 1. 3 !! GRAN OCASION !!,www.milanuncios.com/opel-de-segunda-mano/opel-corsa-1-3-gran-ocasion-299330280.htm,6.850€,año 2015,48.000 kms,otro,75 cv,5 puertas,manual,baleares
HONDA - CIVIC 1. 8 I-VTEC 140CV,www.milanuncios.com/honda-de-segunda-mano/honda-civic-1-8-i-vtec-140cv-294793906.htm,5.500€,año 2009,130.000 kms,gasolina,140 cv,5 puertas,automat,tarragona
MERCEDES-BENZ - C200FAMILIAR,www.milanuncios.com/mercedes-benz-de-segunda-mano/mercedes-benz-c200familiar-292682850.htm,7.300€,año 2010,240.000 kms,diesel,140 cv,5 puertas,manual,madrid
BMW - 320D F30 PAQUETE M TECHO,www.milanuncios.com/bmw-de-segunda-mano/bmw-320d-f30-paquete-m-techo-300197294.htm,17.500€,año 2013,167.000 kms,diesel,184 cv,4 puertas,automat,barcelona
PEUGEOT - 208 1. 2 E-VTI STYLE,www.milanuncios.com/peugeot-de-segunda-mano/peugeot-208-1-2-e-vti-style-299377376.htm,9.500€,año 2017,25.000 kms,gasolina,82 cv,5 puertas,manual,sevilla
OPEL - INSIGNIA 1. 6 CDTI EXCELLENCE,www.milanuncios.com/opel-de-segunda-mano/opel-insignia-1-6-cdti-excellence-298024089.htm,12.500€,año 2017,95.000 kms,diesel,136 cv,5 puertas,manual,sevilla
HYUNDAI - I20 KLASS 1. 2 MPI,www.milanuncios.com/hyundai-de-segunda-mano/hyundai-i20-klass-1-2-mpi-296878861.htm,8.000€,año 2016,30.000 kms,gasolina,84 cv,5 puertas,manual,sevilla
FORD - KUGA 2. 0 TDCI 150CV IMPECABLE,www.milanuncios.com/ford-de-segunda-mano/ford-kuga-2-0-tdci-150cv-impecable-296506678.htm,10.000€,año 2012,155.000 kms,diesel,150 cv,5 puertas,manual,tarragona
VOLKSWAGEN - GOLF 1. 6 TDI VARIANT ADVANCE,www.milanuncios.com/volkswagen-de-segunda-mano/volkswagen-golf-1-6-tdi-variant-advance-294272396.htm,10.000€,año 2014,140.000 kms,diesel,105 cv,5 puertas,manual,sevilla
RENAULT - MEGANE 1. 5 DCI BUSINESS,www.milanuncios.com/renault-de-segunda-mano/renault-megane-1-5-dci-business-291854119.htm,8.500€,año 2015,128.000 kms,diesel,110 cv,5 puertas,manual,sevilla
BMW - SERIE 2 F45 ACTIVE TOURER 216D,www.milanuncios.com/bmw-de-segunda-mano/bmw-serie-2-f45-active-tourer-216d-300031021.htm,13.850€,año 2015,108.500 kms,diesel,116 cv,5 puertas,manual,madrid
OPEL - CORSA,www.milanuncios.com/opel-de-segunda-mano/opel-corsa-298165734.htm,4.000€,año 2011,194.000 kms,diesel,95 cv,5 puertas,manual,zaragoza
AUDI - A5 QUATTRO NACIONAL FULL,www.milanuncios.com/audi-de-segunda-mano/audi-a5-quattro-nacional-full-294960767.htm,17.990€,año 2011,86.000 kms,gasolina,210 cv,3 puertas,automat,valencia
BMW - 320D COUPE NACIONAL,www.milanuncios.com/bmw-de-segunda-mano/bmw-320d-coupe-nacional-289830381.htm,10.990€,año 2008,168.000 kms,diesel,177 cv,3 puertas,automat,valencia
AUDI - A3 1. 8 TFSI,www.milanuncios.com/audi-de-segunda-mano/audi-a3-1-8-tfsi-299728353.htm,16.900€,año 2014,65.900 kms,gasolina,180 cv,4 puertas,automat,huelva
RENAULT - TWINGO DYNAMIQUE 1. 5 DCI 65 ECO2,www.milanuncios.com/renault-de-segunda-mano/renault-twingo-dynamique-1-5-dci-65-eco2-300033641.htm,3.290€,año 2008,79.000 kms,diesel,65 cv,3 puertas,manual,tarragona
FORD - FIESTA 1. 25 82CV TREND,www.milanuncios.com/ford-de-segunda-mano/ford-fiesta-1-25-82cv-trend-283110872.htm,6.000€,año 2009,68.900 kms,gasolina,82 cv,5 puertas,manual,valencia
FORD - FIESTA 1. 25 82CV TREND,www.milanuncios.com/ford-de-segunda-mano/ford-fiesta-1-25-82cv-trend-283110872.htm,6.000€,año 2009,68.900 kms,gasolina,82 cv,5 puertas,manual,valencia
KIA - SPORTAGE 2. 0 DOHC CONCEPT 4X2,www.milanuncios.com/kia-de-segunda-mano/kia-sportage-2-0-dohc-concept-4x2-295071461.htm,3.900€,año 2008,230.000 kms,gasolina,142 cv,5 puertas,manual,madrid
VOLKSWAGEN - PASSAT ADVANCE 2. 0 TDI 150CV BMT,www.milanuncios.com/volkswagen-de-segunda-mano/volkswagen-passat-advance-2-0-tdi-150cv-bmt-286661035.htm,17.950€,año 2015,107.000 kms,diesel,150 cv,4 puertas,manual,valladolid
MINI - MINI COOPER CABRIO,www.milanuncios.com/mini-de-segunda-mano/mini-mini-cooper-cabrio-297550424.htm,10.490€,año 2010,99.000 kms,gasolina,120 cv,2 puertas,manual,tarragona
RENAULT - CLIO AUTHENTIQUE 1. 2 16V 75,www.milanuncios.com/renault-de-segunda-mano/renault-clio-authentique-1-2-16v-75-284409991.htm,5.990€,año 2013,76.000 kms,gasolina,75 cv,5 puertas,manual,las_palmas
AUDI - A1 1. 4 TFSI 122CV AMBITION,www.milanuncios.com/audi-de-segunda-mano/audi-a1-1-4-tfsi-122cv-ambition-297408393.htm,10.990€,año 2012,65.000 kms,gasolina,122 cv,3 puertas,manual,tarragona
FORD - KUGA 2. 0 TDCI 140 4X2 TITANIUM,www.milanuncios.com/ford-de-segunda-mano/ford-kuga-2-0-tdci-140-4x2-titanium-295610494.htm,16.450€,año 2015,84.994 kms,diesel,140 cv,5 puertas,manual,valladolid
AUDI - A4 AVANT 2. 0 TDI 150CV,www.milanuncios.com/audi-de-segunda-mano/audi-a4-avant-2-0-tdi-150cv-295347135.htm,16.950€,año 2013,96.139 kms,diesel,150 cv,5 puertas,manual,valladolid
MINI - MINI ONE D,www.milanuncios.com/mini-de-segunda-mano/mini-mini-one-d-288706963.htm,8.300€,año 2014,167.000 kms,diesel,95 cv,3 puertas,manual,toledo
VOLVO - S60 2. 0 D3 MOMENTUM,www.milanuncios.com/volvo-de-segunda-mano/volvo-s60-2-0-d3-momentum-287937529.htm,15.750€,año 2014,71.986 kms,diesel,136 cv,4 puertas,manual,valladolid
BMW - SERIE 1 118D,www.milanuncios.com/bmw-de-segunda-mano/bmw-serie-1-118d-286018462.htm,12.990€,año 2014,166.000 kms,diesel,143 cv,5 puertas,manual,las_palmas
MINI - MINI COOPER D CLUBMAN,www.milanuncios.com/mini-de-segunda-mano/mini-mini-cooper-d-clubman-300352642.htm,6.500€,año 2008,236.000 kms,diesel,110 cv,5 puertas,manual,pontevedra
RENAULT - KANGOO COMBI PROFESIONAL M1AF ENERGY DCI 75 EURO 6,www.milanuncios.com/renault-de-segunda-mano/renault-kangoo-combi-profesional-m1af-energy-dci-75-euro-6-298996506.htm,6.599€,año 2016,119.500 kms,diesel,75 cv,4 puertas,manual,toledo
BMW - SERIE 3 320D,www.milanuncios.com/bmw-de-segunda-mano/bmw-serie-3-320d-298949855.htm,16.900€,año 2014,129.000 kms,diesel,184 cv,4 puertas,manual,toledo
BMW - X3 SDRIVE18D,www.milanuncios.com/bmw-de-segunda-mano/bmw-x3-sdrive18d-286199466.htm,13.900€,año 2014,169.000 kms,diesel,150 cv,5 puertas,manual,toledo
VOLKSWAGEN - POLO ADVANCE 1. 2 TSI 66KW90CV BMT,www.milanuncios.com/volkswagen-de-segunda-mano/volkswagen-polo-advance-1-2-tsi-66kw90cv-bmt-284799649.htm,8.290€,año 2016,39.000 kms,gasolina,90 cv,5 puertas,manual,las_palmas
BMW - SERIE 3 320D EFFICIENTDYNAMICS,www.milanuncios.com/bmw-de-segunda-mano/bmw-serie-3-320d-efficientdynamics-284133176.htm,18.750€,año 2015,99.179 kms,diesel,163 cv,4 puertas,manual,valladolid
VOLKSWAGEN - GOLF VI 2. 0 TDI 140CV DPF SPORT,www.milanuncios.com/volkswagen-de-segunda-mano/volkswagen-golf-vi-2-0-tdi-140cv-dpf-sport-295803036.htm,8.790€,año 2010,99.000 kms,diesel,140 cv,3 puertas,manual,tarragona
VOLKSWAGEN - PASSAT 2. 0 TDI 140CV 4MOTION ADVANCE BMT,www.milanuncios.com/volkswagen-de-segunda-mano/volkswagen-passat-2-0-tdi-140cv-4motion-advance-bmt-292307978.htm,7.500€,año 2011,220.835 kms,diesel,140 cv,4 puertas,manual,madrid
VOLKSWAGEN - SCIROCCO 2. 0 TDI 150CV RLINE BMT,www.milanuncios.com/volkswagen-de-segunda-mano/volkswagen-scirocco-2-0-tdi-150cv-rline-bmt-291588059.htm,14.900€,año 2015,179.000 kms,diesel,150 cv,3 puertas,manual,toledo
VOLKSWAGEN - TIGUAN SPORT 2. 0 TDI 140CV DSG BMT 4MOTION,www.milanuncios.com/volkswagen-de-segunda-mano/volkswagen-tiguan-sport-2-0-tdi-140cv-dsg-bmt-4motion-290531023.htm,18.500€,año 2014,96.000 kms,diesel,140 cv,5 puertas,automat,caceres
VOLKSWAGEN - SCIROCCO 2. 0 TDI 150CV RLINE BMT,www.milanuncios.com/volkswagen-de-segunda-mano/volkswagen-scirocco-2-0-tdi-150cv-rline-bmt-286199498.htm,14.900€,año 2015,178.000 kms,diesel,150 cv,3 puertas,manual,toledo
BMW - SERIE 2 GRAN TOURER 218D,www.milanuncios.com/bmw-de-segunda-mano/bmw-serie-2-gran-tourer-218d-300034449.htm,19.450€,año 2016,91.852 kms,diesel,150 cv,5 puertas,automat,valladolid
VOLVO - XC60 D5 AWD SUMMUM,www.milanuncios.com/volvo-de-segunda-mano/volvo-xc60-d5-awd-summum-299229832.htm,7.900€,año 2009,294.000 kms,diesel,205 cv,5 puertas,manual,pontevedra
AUDI - A4 2. 0 TDI 150CV MULTITRONIC,www.milanuncios.com/audi-de-segunda-mano/audi-a4-2-0-tdi-150cv-multitronic-296542242.htm,16.950€,año 2014,117.117 kms,diesel,150 cv,4 puertas,automat,valladolid
FIAT - 500L 1. 6 16V MULTIJET II 105CV SS LOUNGE,www.milanuncios.com/fiat-de-segunda-mano/fiat-500l-1-6-16v-multijet-ii-105cv-ss-lounge-291837697.htm,11.700€,año 2015,91.057 kms,diesel,105 cv,5 puertas,manual,valladolid
SKODA - FABIA 1. 2 12V 60CV AMBITION,www.milanuncios.com/skoda-de-segunda-mano/skoda-fabia-1-2-12v-60cv-ambition-280450959.htm,5.990€,año 2013,125.000 kms,gasolina,60 cv,5 puertas,manual,las_palmas
PEUGEOT - 508 ALLURE 2. 0 BLUEHDI 110KW 150CV,www.milanuncios.com/peugeot-de-segunda-mano/peugeot-508-allure-2-0-bluehdi-110kw-150cv-299336274.htm,16.450€,año 2017,107.861 kms,diesel,150 cv,4 puertas,manual,valladolid
SUZUKI - ALTO 1. 0 GL - !!!REESTRENO!!!,www.milanuncios.com/suzuki-de-segunda-mano/suzuki-alto-1-0-gl-reestreno-299166742.htm,3.399€,año 2010,58.000 kms,gasolina,70 cv,5 puertas,manual,madrid
AUDI - A6 2. 0 TDI 177CV MULTITRONIC,www.milanuncios.com/audi-de-segunda-mano/audi-a6-2-0-tdi-177cv-multitronic-298997746.htm,11.600€,año 2012,199.000 kms,diesel,177 cv,4 puertas,automat,toledo
CITROEN - C5 2. 0 HDI FAP EXCLUSIVE,www.milanuncios.com/citroen-de-segunda-mano/citroen-c5-2-0-hdi-fap-exclusive-298613123.htm,5.900€,año 2008,180.000 kms,diesel,140 cv,4 puertas,manual,pontevedra
AUDI - A5 SPORTBACK 2. 0 TDI 163CV ULTRA,www.milanuncios.com/audi-de-segunda-mano/audi-a5-sportback-2-0-tdi-163cv-ultra-297191475.htm,14.100€,año 2014,185.000 kms,diesel,163 cv,5 puertas,manual,toledo
BMW - SERIE 1 118D,www.milanuncios.com/bmw-de-segunda-mano/bmw-serie-1-118d-295007184.htm,6.790€,año 2008,170.000 kms,diesel,143 cv,3 puertas,manual,tarragona
PEUGEOT - 208 5P ACTIVE 1. 6 BLUEHDI 75,www.milanuncios.com/peugeot-de-segunda-mano/peugeot-208-5p-active-1-6-bluehdi-75-290884598.htm,8.500€,año 2016,63.400 kms,diesel,75 cv,5 puertas,manual,toledo
RENAULT - TALISMAN INTENS ENERGY DCI 96KW 130CV EDC,www.milanuncios.com/renault-de-segunda-mano/renault-talisman-intens-energy-dci-96kw-130cv-edc-287527124.htm,16.800€,año 2016,109.000 kms,diesel,130 cv,4 puertas,automat,valladolid
RENAULT - TWINGO 1. 2,www.milanuncios.com/renault-de-segunda-mano/renault-twingo-1-2-294557506.htm,3.990€,año 2013,49.000 kms,gasolina,70 cv,3 puertas,manual,barcelona
CITROEN - C3 PICASSO HDI 90CV AIRDREAM EXCLUSIVE,www.milanuncios.com/citroen-de-segunda-mano/citroen-c3-picasso-hdi-90cv-airdream-exclusive-300378717.htm,7.490€,año 2012,86.000 kms,diesel,92 cv,5 puertas,manual,vizcaya
FORD - SMAX 2. 0 TDCI 140CV DPF TITANIUM POWERSHIFT,www.milanuncios.com/ford-de-segunda-mano/ford-smax-2-0-tdci-140cv-dpf-titanium-powershift-289880147.htm,12.490€,año 2011,105.000 kms,diesel,140 cv,5 puertas,manual,valencia
VOLKSWAGEN - GOLF VARIANT ADVANCE 1. 6 TDI 110CV BMT,www.milanuncios.com/volkswagen-de-segunda-mano/volkswagen-golf-variant-advance-1-6-tdi-110cv-bmt-287324829.htm,10.490€,año 2015,117.000 kms,diesel,110 cv,5 puertas,manual,valencia
MERCEDES-BENZ - CLASE C C 200 CDI AVANTGARDE ESTATE,www.milanuncios.com/mercedes-benz-de-segunda-mano/mercedes-benz-clase-c-c-200-cdi-avantgarde-estate-299971663.htm,6.990€,año 2008,330.000 kms,diesel,136 cv,5 puertas,automat,vizcaya
MAZDA - MAZDA5 2. 0 CRTD STYLE,www.milanuncios.com/mazda-de-segunda-mano/mazda-mazda5-2-0-crtd-style-299129845.htm,7.990€,año 2009,140.000 kms,diesel,110 cv,5 puertas,manual,vizcaya
TOYOTA - RAV4 2. 2 D4D ADVANCE 4X2,www.milanuncios.com/toyota-de-segunda-mano/toyota-rav4-2-2-d4d-advance-4x2-299839384.htm,8.990€,año 2009,213.000 kms,diesel,150 cv,5 puertas,manual,vizcaya
RENAULT - LAGUNA G. TOUR EXPRESSION TOMTOM DCI 150CV FAP,www.milanuncios.com/renault-de-segunda-mano/renault-laguna-g-tour-expression-tomtom-dci-150cv-fap-296884693.htm,3.990€,año 2010,289.000 kms,diesel,150 cv,5 puertas,manual,vizcaya
FIAT - PANDA 1. 2 LOUNGE 69CV EU6,www.milanuncios.com/fiat-de-segunda-mano/fiat-panda-1-2-lounge-69cv-eu6-289681470.htm,5.990€,año 2016,55.000 kms,gasolina,69 cv,5 puertas,manual,valencia
FORD - MONDEO 2. 0 TDCI 140 TREND,www.milanuncios.com/ford-de-segunda-mano/ford-mondeo-2-0-tdci-140-trend-289318487.htm,6.500€,año 2009,168.829 kms,diesel,140 cv,5 puertas,manual,valencia
RENAULT - CAPTUR ZEN ENERGY DCI 66KW 90CV EDC ECO2,www.milanuncios.com/renault-de-segunda-mano/renault-captur-zen-energy-dci-66kw-90cv-edc-eco2-298018306.htm,16.500€,año 2018,16.500 kms,diesel,90 cv,5 puertas,automat,asturias
BMW - SERIE 1 116D EFFICIENTDYNAMICS,www.milanuncios.com/bmw-de-segunda-mano/bmw-serie-1-116d-efficientdynamics-296950713.htm,12.990€,año 2015,97.000 kms,diesel,116 cv,3 puertas,manual,valencia
OPEL - MOKKA X 1. 6 CDTI 100KW 136CV 4X2 SS SELECTIVE,www.milanuncios.com/opel-de-segunda-mano/opel-mokka-x-1-6-cdti-100kw-136cv-4x2-ss-selective-295698780.htm,15.380€,año 2017,3.985 kms,diesel,136 cv,5 puertas,manual,valencia
VOLKSWAGEN - SCIROCCO RLINE 2. 0 TDI 150CV DSG BMT,www.milanuncios.com/volkswagen-de-segunda-mano/volkswagen-scirocco-rline-2-0-tdi-150cv-dsg-bmt-296021163.htm,15.490€,año 2015,122.000 kms,diesel,150 cv,3 puertas,manual,vizcaya
VOLVO - XC90 D5 SUMMUM,www.milanuncios.com/volvo-de-segunda-mano/volvo-xc90-d5-summum-289318574.htm,7.990€,año 2008,254.677 kms,diesel,185 cv,5 puertas,automat,valencia
BMW - SERIE 1 116D,www.milanuncios.com/bmw-de-segunda-mano/bmw-serie-1-116d-299812339.htm,9.000€,año 2009,298.000 kms,diesel,115 cv,3 puertas,manual,vizcaya
RENAULT - MEGANE ZEN ENERGY DCI 81KW 110CV,www.milanuncios.com/renault-de-segunda-mano/renault-megane-zen-energy-dci-81kw-110cv-298018310.htm,18.200€,año 2018,8.000 kms,diesel,110 cv,5 puertas,manual,asturias
PEUGEOT - 5008 PREMIUM 1. 6 HDI 112 FAP CMP,www.milanuncios.com/peugeot-de-segunda-mano/peugeot-5008-premium-1-6-hdi-112-fap-cmp-282052966.htm,9.990€,año 2011,81.000 kms,diesel,112 cv,5 puertas,manual,valencia
DACIA - DUSTER ESSENTIAL 1. 6 84KW 114CV 4X2 18 MY,www.milanuncios.com/dacia-de-segunda-mano/dacia-duster-essential-1-6-84kw-114cv-4x2-18-my-297014944.htm,13.400€,año 2019,3 kms,gasolina,115 cv,5 puertas,manual,asturias
NISSAN - PATHFINDER 2. 5DCI 190 CV SE 7 PLAZAS,www.milanuncios.com/nissan-de-segunda-mano/nissan-pathfinder-2-5dci-190-cv-se-7-plazas-298063585.htm,15.990€,año 2014,86.000 kms,diesel,190 cv,5 puertas,manual,vizcaya
DACIA - LODGY STEPWAY DCI 79KW 107CV 7PL,www.milanuncios.com/dacia-de-segunda-mano/dacia-lodgy-stepway-dci-79kw-107cv-7pl-297629710.htm,15.500€,año 2018,8.800 kms,diesel,107 cv,5 puertas,manual,asturias
